Amount Debited,Source / Destination,Date
5.0,STAPLES227,2023/03/29
16.83,PIZZA NOVA 065,2023/03/30
15.24,Subway 55747,2023/03/30
13.55,GOOGLE SERVICES,2023/03/30
17.6,METRO  854,2023/03/31
39.99,ESSO CIRCLE K,2023/03/31
73.91,KID TO KID,2023/04/01
205.09,RCSS 1080,2023/04/01
3.1,DOLLARAMA  840,2023/04/01
128.97,RCSS 1080,2023/04/02
3.86,METRO  854,2023/04/02
54.23,180 MARKS,2023/04/04
25.0,ESSO CIRCLE K,2023/04/04
18.05,METRO  854,2023/04/06
16.83,PIZZA NOVA 065,2023/04/06
151.48,GRILL CITY  MISSISSAU,2023/04/08
30.41,METRO  854,2023/04/08
40.0,ESSO CIRCLE K,2023/04/08
85.75,WALMART STORE 3054,2023/04/08
61.66,816 PARTY CITY,2023/04/08
17.5,REXALL PHARMACY 2100,2023/04/08
12.42,OSMOWS,2023/04/08
24.25,CDN TIRE STORE 00169,2023/04/10
418.07,MEADOWVALE HONDA,2023/04/10
10.09,RCSS 1077,2023/04/11
86.48,LOBLAW RCSS 1080,2023/04/12
17.65,RCSS 1080,2023/04/12
46.42,METRO  854,2023/04/12
30.0,ESSO CIRCLE K,2023/04/13
15.8,RCSS 1077,2023/04/13
16.83,PIZZA NOVA 065,2023/04/14
62.64,LONGOS  8,2023/04/15
81.33,CDN TIRE STORE 00169,2023/04/16
88.87,RCSS 1080,2023/04/16
34.74,RCSS 1080,2023/04/17
56.59,ESSO CIRCLE K,2023/04/19
37.89,METRO  854,2023/04/20
179.44,RCSS 1080,2023/04/20
19.2,WINNERSHOMESENSE 361158,2023/04/22
43.05,RCSS 1080,2023/04/22
48.09,METRO  854,2023/04/23
70.6,RCSS 1080,2023/04/23
9.82,SALLY BEAUTY 5547,2023/04/23
9.61,DOLLARAMA  840,2023/04/23
50.34,METRO  854,2023/04/25
43.77,RCSS 1080,2023/04/26
11.97,Subway 23972,2023/04/26
24.85,METRO  854,2023/04/27
113.0,DRL DE BOLSTER MEDICINE,2023/04/28
38.42,BATH  BODY WORKS CAN,2023/04/29
15.58,NYF 3241,2023/04/29
25.93,GARAGE 111,2023/04/29
27.12,BULK BARN 545 MISSISSA,2023/04/30
106.75,LOBLAW RCSS 1080,2023/04/30
13.55,GOOGLE SERVICES,2023/04/30
72.82,RCSS 1080,2023/05/01
49.22,ESSO CIRCLE K,2023/05/01
22.92,PIZZA NOVA 065,2023/05/03
79.09,BEST BUY 622,2023/05/04
27.94,METRO  854,2023/05/05
15.58,Subway 23972,2023/05/05
8.48,DOLLED UP CUPCAKES,2023/05/05
52.44,RCSS 1080,2023/05/06
200.01,HUDSONS BAY 1523,2023/05/06
75.34,FOX  JOHNS PUB  RESTAU,2023/05/06
12.59,INDIGO 411,2023/05/07
60.4,METRO  854,2023/05/07
12.15,DOLLARAMA  840,2023/05/07
45.87,ESSO CIRCLE K,2023/05/08
38.61,RCSS 1080,2023/05/08
81.32,METRO  854,2023/05/09
22.92,PIZZA NOVA 065,2023/05/10
15.57,METRO  854,2023/05/10
122.02,GRILL CITY  MISSISSAU,2023/05/12
111.87,SQ JOURNEYS CUISINE INC,2023/05/12
33.64,METRO  854,2023/05/13
36.15,TOYS R US 3575,2023/05/14
163.7,RCSS 1080,2023/05/14
12.98,METRO  854,2023/05/15
32.7,ESSO CIRCLE K,2023/05/15
30.89,PIZZA NOVA 065,2023/05/16
104.6,METRO  854,2023/05/17
107.38,Trezorio order 168440535,2023/05/18
16.49,METRO  854,2023/05/18
36.94,ESSO CIRCLE K,2023/05/18
38.96,LOBLAW RCSS 1080,2023/05/18
22.58,UPSWEB COD,2023/05/19
59.83,METRO  854,2023/05/19
2.0,GOOGLE SERVICES,2023/05/19
43.1,ESSO CIRCLE K,2023/05/23
71.97999999999999,RCSS 1080,2023/05/25
16.7,LISGAR WOODS PHARMACY,2023/05/25
54.1,METRO  854,2023/05/26
111.02000000000001,RCSS 1080,2023/05/29
